Ar,H2,Current,Standoff,ParticleTemperature,ParticleVelocity
65,30,500,120,2589.161207,183.6541379
85,30,500,120,2600.447627,194.3447458
65,35,500,120,2603.414237,186.9413559
85,35,500,120,2622.552712,204.2640678
65,30,600,120,2596.430678,190.6420339
85,30,600,120,2627.274138,209.1767241
65,35,600,120,2608.544237,197.010339
85,35,600,120,2636.491034,220.4206897
65,30,500,150,2519.232241,160.1893103
85,30,500,150,2522.955763,171.770339
65,35,500,150,2532.280345,164.7831034
85,35,500,150,2539.933898,181.2771186
65,30,600,150,2553.185862,178.3046552
85,30,600,150,2560.648814,193.0555932
65,35,600,150,2565.327966,182.0150847
85,35,600,150,2576.041525,203.6479661
85,30,350,50,2878.930444,181.8880455
85,30,350,75,2658.855556,170.1103182
85,30,350,100,2746.291515,149.2870909
85,30,350,125,2467.340455,131.7468636
85,30,350,150,2370.9472,115.9095455
65,25,600,50,2882.0268,198.2585714
65,25,600,75,2732.937551,188.9080851
65,25,600,100,2714.86697,177.6619231
65,25,600,125,2590.9604,167.1477419
65,25,600,150,2536.435526,154.9904348
